collection_slug,created_date,market_cap,num_owners,floor_price,total_volume,total_supply,thirty_day_volume,thirty_day_change
mutant-ape-yacht-club,2021-08-29T00:41:59.548458,286779.0560838933,11192,15.5,175852.77883286634,17677,51547.6261435647,0.726680136796424
boredapeyachtclub,2021-04-22T23:14:03.967121,776569.9335168923,6086,69.5,299978.5452270546,10000,49168.47776597453,0.02509443936164142
primeapeplanetpap,2021-12-28T14:47:19.031823,22662.31751208346,4949,1.74,18431.78343557591,7979,18431.783435575966,0
doodles-official,2021-10-17T13:00:47.419945,92163.05555317279,5557,9.45,46553.27620818187,9999,19625.697539145243,0.6964943458844174
cryptopunks,2019-04-26T22:13:09.691572,764521.2530999997,3314,,774855.5891493,9999,38834.61790000099,0.12286287542295685
clonex,2021-12-12T18:32:58.410707,124312.06314969275,7392,6.099,54391.409664811465,18373,54391.40966481114,0
bored-ape-kennel-club,2021-06-18T21:32:25.355263,62041.21436018022,5232,5.869,49219.198210679606,9601,10551.616878324376,1.8356210963741224
sandbox,2019-12-04T10:58:29.069907,402171.99401917367,17851,3.68,131885.67850853267,103265,20954.966887836123,-0.545119776516853
bored-ape-chemistry-club,2021-08-28T19:14:35.400797,85.11349401197604,1224,15.6,33190.70117364744,3,9306.235489999995,2.4941464206810235
psychedelics-anonymous-genesis,2021-12-22T21:00:33.484429,14458.627793548252,6949,1.9,8208.592538769382,9595,8208.592538769428,0
alienfrensnft,2021-12-18T06:46:31.634552,8265.539024106763,5849,1.4,6818.80688210925,9999,6818.80688210925,0
phantabear,2021-12-31T09:26:30.303698,5709.501347817931,4947,0.65,4018.34704859425,10000,4018.3470485942594,0
cool-cats-nft,2021-06-27T09:03:35.403074,111911.34878880584,5049,10.2,66948.59616566739,9933,7954.597871979055,0.37531916068645943
nft-worlds,2021-10-06T04:57:55.922255,31810.516253548365,4566,4.0,9995.730178399292,9996,6025.3972881741365,3.0188789647758694
inbetweeners,2021-12-25T05:04:41.533646,12415.040281407937,5266,0.689,6098.494386215034,10777,6098.4943862150085,0
bored-bunny--nft,2022-01-04T16:49:31.681945,4093.2983961598093,3486,0.78,3186.860843739586,4999,3186.8608437395433,0
wolf-game-migrated,2021-11-28T04:07:17.068658,32905.48155007829,4116,0.75,11244.27147398821,13706,6035.637735829079,0.15877560973642108
deadfellaz,2021-08-13T14:30:12.621434,18052.948622347234,5720,1.94,13033.576926076621,9997,3959.431003682727,1.295088740181163
coolmans-universe,2021-12-17T23:15:45.785451,7081.650590930072,5109,1.1,5739.588446164288,10000,5739.588446164255,0
capsulehouse,2021-09-28T04:59:44.631052,11808.536569333568,3042,1.99,8485.805437471601,10000,3436.856894128836,22.84520667301996
town-star,2020-07-07T04:21:17.383133,57.377359761074,34999,0.00011286,23862.870304894208,425,11381.00629185893,3.0333955461613438
morethangamersnftmtg,2021-12-23T09:32:17.568846,5896.8104584713765,6913,0.349,5973.735084765062,10100,5973.735084764965,0
collectvox,2021-07-30T21:52:12.603912,70639.00749820042,3420,2.2,20750.864534197117,8888,6182.195072854426,-0.02492909531352279
jankyheist,2021-07-13T04:06:19.864433,5311.31267573632,4409,0.43,3072.803761073127,12262,2376.9483166065193,202.39614048984882
apocalyptic-apes,2021-12-15T19:18:03.090228,8881.97692096225,3478,0.8599,4012.746621594799,8888,4012.746621594769,0
neotokyo-outer-identities,2021-12-11T18:22:45.276088,47208.6957077512,4005,11.75,11815.012335553962,4492,11815.01233555401,0
superrare,2019-04-26T22:13:23.645797,762104.8673499337,5851,0.27,62561.44448654258,29152,5903.551628026004,1.6908705954217382
cryptomories,2021-10-08T09:14:34.697573,9188.821612167432,4718,0.95,6963.435842556335,10000,2791.9791168495863,-0.027506030274354047
collectvoxmirandus,2021-11-19T13:12:36.549230,72111.59177194584,4128,1.75,14450.468252035003,8190,12489.579149275012,5.800632227856554
mypethooligan,2021-12-13T17:08:47.634664,12783.047805379018,5228,1.29,7515.955847552196,8888,7515.95584755213,0
worldwidewebbland,2021-11-29T08:20:45.145208,10609.112528897193,4695,0.995,7264.73954877713,9508,3726.7886349305336,0.053374884412574305
critterznft,2021-12-22T15:55:17.513453,3399.1435229030835,352,1.72,3253.091999478881,3809,3253.0919994788546,0
decentraland,2019-04-26T22:13:21.651227,666440.1384075144,6250,3.45981846,234374.10148974403,97198,7513.148383341489,-0.1636161913879903
cyberkongz,2021-04-16T19:57:15.677123,38843.37181415949,2347,8.1,40968.207893384955,5000,5008.588606710542,0.2580261121288563
art-blocks,2020-11-27T15:58:37.366034,125041.6981610571,9893,,215972.38603124066,47287,10687.661892987204,-0.15918291486898628
expansionpunks,2021-08-15T05:37:14.456999,6045.199800629271,3055,0.5,2665.1071737213915,9980,2654.0394737213865,1896.911522970098
yungapesquad,2021-12-29T22:12:55.234271,1168.1601117310308,3219,0.179,1460.9474948458696,6643,1460.9474948459138,0
veefriends,2021-05-11T18:22:19.398578,135127.31215606703,5154,11.79,35222.03320039787,10255,3148.984412017967,0.32230207549551265
forgottenruneswizardscult,2021-06-29T10:49:13.763292,28194.024737354546,2607,2.139,8029.205624604929,9420,2413.019140000746,3.8054715913633106
cryptoadz-by-gremplin,2021-09-08T20:07:14.086599,26274.88768948524,3668,3.75,55116.542015480154,7025,4962.870785318643,0.049136520308687884
makc-m1,2021-12-28T20:51:39.232385,722.7472105310823,1784,0.399,1372.7318512195213,3000,1372.7318512194615,0
punks-comic,2021-05-11T01:08:43.634595,37204.57016816154,7050,0.319,48038.266515519776,22883,5784.07209142583,0.8558715259623465
little-lemon-friends,2021-12-09T06:06:01.981578,3661.730068988521,4121,0.475,2445.6950178567367,9997,2445.695017856686,0
animo-official,2021-12-22T12:41:28.393081,2060.6221628798917,4297,0.177,1900.7851102693166,10000,1900.7851102693512,0
world-of-women-nft,2021-07-27T14:26:04.834925,30391.45061185707,4695,2.5,28357.90596146426,10000,2844.517375322455,0.5410011936093959
dystoapez-official,2021-12-29T00:19:06.668178,1061.2313689303655,2167,0.219,1272.0925972754362,4444,1272.0925972754403,0
chainfaces-arena,2022-01-01T00:01:28.229768,3145.9298420737396,5568,0.033,1263.5511902311268,26969,1263.5511902311077,0
linksdao,2021-12-31T15:27:34.731062,3864.696295021073,4913,0.279,1255.0696878880444,9090,1255.0696878880317,0
kaiju-kingz,2021-10-13T06:13:46.161485,8119.032800222099,2292,1.09,16596.07631204034,4206,2097.2722967313543,0.4472355482204159
adidasoriginals,2021-12-17T01:05:06.570334,0.7572731410674223,21109,2.745,15220.747816043451,1,15220.74781604337,0
mekaverse,2021-10-07T20:29:17.017760,22924.60964021084,5145,1.29,45201.71774448034,8885,1698.9744973845081,-0.15958687959487927
frontiergame,2021-09-03T07:04:59.227121,18.402919639327653,7056,0.08,8077.902739847399,55,1532.8070127896397,2.9426938774823768
cyberkongz-vx,2021-08-15T19:00:24.764394,26197.582000191123,4262,1.75,20362.348358874595,14744,1883.1739364481411,0.5616964703413958
slimhoods,2021-10-15T19:16:32.231037,3256.7384143107483,2997,0.789,1904.7998649944416,5000,1554.3363744572466,6.072663159621797
fluf-world,2021-08-05T20:23:36.545766,23619.96256958166,3584,2.35,19666.782235023013,9999,2053.6059529000054,0.11620296527859758
illuminaticollective,2021-12-07T04:59:27.767502,3248.8913216556602,4133,0.479,1239.8817565474178,8128,1239.8817565474142,0
noodlesnft-official,2021-12-15T03:19:45.619728,1665.9901434251494,2845,0.33,1222.0022769779512,5555,1222.002276977948,0
moodrollers-by-lucas-zanotto,2021-12-08T20:00:17.464333,2859.6047317688226,2884,0.75,1524.128379950452,5000,1524.1283799504572,0
fyat-lux-dawn,2021-12-27T21:28:59.057066,1748.5698265116696,4356,0.1969,1124.857138587448,8080,1124.8571385874654,0
meebits,2021-05-03T01:32:41.897161,83496.5307145033,5497,3.98,79429.44260819069,19999,2748.626716005683,-0.0706423672042869
lazy-lions,2021-08-06T06:37:58.189522,15549.756738631952,5036,1.65,21156.14607194653,10080,2214.825447000131,0.09768015314717247
x-consoles-0xnft,2021-12-01T16:30:56.920126,4727.430693069307,53,8.0,2289.2600186656928,1000,1697.0967899900004,1.8659273453797183
kumo-x-world-residents,2021-11-10T11:13:43.195795,1504.3799884802029,3402,0.39,1514.3434555089439,6641,998.1710078209607,0.9337936619668994
theapedads,2021-12-28T18:34:30.140584,1055.5253057882617,2528,0.169,1400.627685318407,4000,1400.6276853184265,0
thelittlesnft,2021-11-26T01:49:51.916321,5486.698579695597,5591,0.66,6340.383403631293,10000,1496.5642611696828,-0.6910363047929275
creepz-invasion-pass,2021-12-30T19:09:43.075486,0.18026310249144803,3335,0.375,908.5260365568969,1,908.526036556898,0
crypto-bull-society,2021-11-27T22:41:13.687462,16684.0103209815,4771,1.98,9496.162685764317,7777,5769.088461540245,0.5478866570577173
coolapeclubofficial,2021-12-22T14:17:54.367605,651.1105196123726,2627,0.1667,867.4802636069154,5555,867.4802636069172,0
larva-lads,2021-12-21T04:34:56.641914,1380.3271097783208,2733,0.18,1484.5864924710286,5000,1484.586492471047,0
supducks,2021-07-16T21:40:10.961766,17190.562523277604,3385,1.7,18974.68226816105,10001,1347.7257643233213,0.1371611847557
wulfz-official,2021-12-27T10:26:55.132510,1095.1349360580314,3050,0.245,1303.9729053847345,5555,1303.9729053847323,0
cyber-factory-2,2021-09-20T02:01:14.356472,2.773468777580323,8780,0.74,1840.148939136906,5,1291.04425568701,6.504082521612452
grayboys,2021-11-24T01:56:52.361675,3638.905778437416,3089,0.45,1054.6200053028451,10000,1040.608610159397,73.26873623255358
wool-pouch,2021-12-07T04:17:17.129936,12037.105667234455,3216,0.44,1542.0168312814553,9355,1542.0168312814508,0
neotokyo-citizens,2021-12-06T20:54:41.531623,141947.61899999998,1822,45.99,1976.87273,1949,1976.87273,0
clonex-mintvial,2021-11-27T17:50:03.740789,7867.614849295776,725,11.43,26056.595068712326,767,18710.139943398,1.5468255946908156
zed-run-official,2021-03-03T01:21:00.501733,14273.31627341049,49209,0.011,43256.27825891286,180836,1947.6026468197322,0.2620623297195326
async-blueprints,2021-12-13T15:46:40.115203,10540.570192862166,1231,0.219,2678.180916402662,1967,2678.1809164026645,0
nbayc,2021-12-31T00:01:50.421578,635.618373820565,2303,0.171,684.3067412552236,5000,684.3067412552203,0
thingdoms,2021-12-12T00:45:55.433020,2421.032001820487,4540,0.35,2167.3729945333034,10000,2167.3729945332398,0
metahero-generative,2021-09-05T01:21:18.467704,33418.36626585366,472,5.25,9902.271347496942,6093,1220.9622000000008,-0.28117785019277497
the-meta-kongz,2021-12-14T12:46:08.618755,8968.751506460056,2379,1.207543,1711.1047702253845,9929,1711.1047702253888,0
guttercatgang,2021-06-08T19:31:45.216105,22632.06567573381,1756,7.05,17435.240578914072,3000,2371.721669189977,1.312960655666573
asm-aifa-genesis,2021-10-19T03:21:26.711984,27631.559898950774,1478,3.37,5360.428336701582,10000,1465.3693395051332,-0.3383098779714089
wolf-game-land,2021-11-22T04:46:12.749699,9407.853425911944,5768,0.45,3308.910601364097,19972,1143.0127697232133,-0.4722683807955647
creatureworld,2021-08-28T19:25:09.137211,12787.853213321152,6076,1.2,31154.172478897162,9999,2786.924377096474,0.31836169097712413
lootrealms,2021-08-31T18:38:42.900062,7084.26068738073,854,1.16,2039.637561709556,8000,762.3591676690392,15.373872815540393
byopills,2021-07-16T12:06:51.781899,12101.08332043812,3366,1.23,3613.1109536968843,9997,1343.3212648500962,8.706458121513238
the-doge-pound,2021-07-12T20:21:03.766305,20231.25411442169,5570,2.09,25705.13550899852,10000,1390.023892575442,-0.37186627862788846
foxfam,2021-10-02T15:31:26.142212,4038.9385304445436,3101,0.4,4272.830395833531,10000,688.0862255213293,2.0874827731326207
nounpunks-eth,2021-11-20T06:19:55.974273,1133.5734590217364,3313,0.11,583.5156727801608,9969,583.2236727801607,1996.3413451375366
alpacadabraz,2021-10-22T02:45:57.537932,4596.858589133608,3515,0.44,3050.087382011733,9669,897.9464470987012,3.674776864624758
planetdaos,2021-09-30T17:59:03.572613,5.186847663560747,9772,0.275,4457.4040822564675,11,1347.8645000010001,0.9322536859321953
rumble-kong-league,2021-07-27T20:54:47.143735,43784.975993987144,3068,2.8,14743.846969317345,9995,4143.266105088778,1.5063418552940544
shiba-social-club,2021-12-16T17:06:40.581987,3654.6075672344964,4909,0.439,5339.167516772216,7776,5339.167516772185,0
byoland,2021-12-16T11:08:14.997222,8608.814361500756,2904,0.7999,1201.7380845732728,10056,1201.7380845732755,0
kbaofficial,2021-12-29T12:43:46.957874,1045.8940843855275,5332,0.079,499.6236041109697,10000,499.62360411096654,0
jrny-club-official,2021-11-19T15:42:53.651240,20717.092372881343,7635,2.4,8006.037687733164,10000,1639.4276264898767,-0.7424959891183093
psychedelics-anonymous-component-1,2021-12-22T21:00:34.327156,3289.948271536385,6026,0.64,852.8682654943572,9589,852.8682654943569,0
gcf-gala-games,2021-12-30T00:17:19.839793,5.196659639130432,1254,0.285,478.09268680000065,5,478.0926867999997,0
